checkpoint,annual_demand_mt_yr,annual_screened_mt_yr,annual_gap_mt_yr,r_annual,cumulative_demand_gt,cumulative_screened_gt,cumulative_gap_gt,r_cumulative,annual_pass,cumulative_pass,overall_pass,first_shortfall_year,years_of_shortfall,max_gap_rate_mt_yr,max_gap_year,total_unmet_volume_gt,active_basins,total_basins,active_basin_fraction,total_wells,n_eff,largest_basin_share,dominant_basin_name,country,scenario,pathway,model,allocation_order
2179,229.7765,229.7765,0.0,1.0,22.2645,22.2645,0.0,1.0,True,True,True,,0,0.0,,0.0,4,4,1.0,220,1.4,0.8289,Sabatayn,Middle East,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,30.4796,30.4796,0.0,1.0,0.3426,0.3426,0.0,1.0,True,True,True,,0,0.0,,0.0,3,6,0.5,38,1.03,0.9832,Sinjar,Middle East,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,640.8214,640.8214,0.0,1.0,12.1708,12.1708,0.0,1.0,True,True,True,,0,0.0,,0.0,5,6,0.8333,581,1.97,0.6464,Al Daww,Middle East,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,29.4147,29.4147,0.0,1.0,45.1102,45.1102,0.0,1.0,True,True,True,,0,0.0,,0.0,3,6,0.5,38,1.04,0.9826,Sinjar,Middle East,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,1.4964,1.4964,0.0,1.0,0.0175,0.0175,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,36,1.0,1.0,Kra-Gulf of Thailand,Thailand,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,13.1294,13.1294,0.0,1.0,0.3263,0.3263,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,36,1.0,1.0,Kra-Gulf of Thailand,Thailand,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,42.4575,42.4575,0.0,1.0,2.646,2.646,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,36,1.0,1.0,Kra-Gulf of Thailand,Thailand,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,1.4964,1.4964,0.0,1.0,0.016,0.016,0.0,1.0,True,True,True,,0,0.0,,0.0,1,2,0.5,36,1.0,1.0,Kra-Gulf of Thailand,Thailand,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,63.3101,63.3101,0.0,1.0,0.9105,0.9105,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,61,1.84,0.6497,Kra-Gulf of Thailand,Thailand,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,17.6069,17.6069,0.0,1.0,10.2751,10.2751,0.0,1.0,True,True,True,,0,0.0,,0.0,1,2,0.5,36,1.0,1.0,Kra-Gulf of Thailand,Thailand,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,34.797,34.797,0.0,1.0,0.4313,0.4313,0.0,1.0,True,True,True,,0,0.0,,0.0,2,5,0.4,51,1.73,0.6961,Southern North Sea,UK,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,203.6984,203.6984,-0.0,1.0,5.9416,5.9416,-0.0,1.0,True,True,True,,0,0.0,,0.0,4,5,0.8,296,3.19,0.3895,Wessex,UK,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,379.7654,379.7654,0.0,1.0,31.8088,31.8088,0.0,1.0,True,True,True,,0,0.0,,0.0,5,5,1.0,300,2.69,0.5518,Moray Firth,UK,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,34.797,34.797,0.0,1.0,0.3906,0.3906,0.0,1.0,True,True,True,,0,0.0,,0.0,2,6,0.3333,51,1.73,0.6961,Southern North Sea,UK,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,870.9932,870.9932,0.0,1.0,15.1435,15.1435,-0.0,1.0,True,True,True,,0,0.0,,0.0,6,6,1.0,588,3.54,0.4254,Central North Sea,UK,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,75.9993,75.9993,0.0,1.0,76.8665,76.8665,-0.0,1.0,True,True,True,,0,0.0,,0.0,3,6,0.5,100,2.2,0.6095,Southern North Sea,UK,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,401.3371,401.3371,0.0,1.0,5.0703,5.0703,0.0,1.0,True,True,True,,0,0.0,,0.0,13,16,0.8125,334,3.53,0.4646,Sacramento,US,growth10,v8_fixedC_deterministic,Gompertz,ascend
2100,1915.7225,1915.7225,-0.0,1.0,61.2479,61.2479,0.0,1.0,True,True,True,,0,0.0,,0.0,16,16,1.0,1320,4.25,0.359,San Joaquin,US,growth10,v8_fixedC_deterministic,Gompertz,ascend
2179,2543.7741,2543.7741,0.0,1.0,262.6136,262.6136,0.0,1.0,True,True,True,,0,0.0,,0.0,16,16,1.0,1320,3.86,0.3778,Los Angeles,US,growth10,v8_fixedC_deterministic,Gompertz,ascend
2050,401.3371,401.3371,0.0,1.0,4.547,4.547,0.0,1.0,True,True,True,,0,0.0,,0.0,13,18,0.7222,334,3.53,0.4646,Sacramento,US,growth10,v8_fixedC_deterministic,Logistic,ascend
2100,7491.2238,7491.2238,-0.0,1.0,149.4935,149.4935,-0.0,1.0,True,True,True,,0,0.0,,0.0,18,18,1.0,5265,4.22,0.3183,Anadarko,US,growth10,v8_fixedC_deterministic,Logistic,ascend
2179,299.7485,299.7485,0.0,1.0,500.6319,500.6319,0.0,1.0,True,True,True,,0,0.0,,0.0,13,18,0.7222,334,4.96,0.2831,Sacramento,US,growth10,v8_fixedC_deterministic,Logistic,ascend
2050,238.6332,238.6332,0.0,1.0,1.8717,1.8717,0.0,1.0,True,True,True,,0,0.0,,0.0,5,9,0.5556,270,2.51,0.5433,Gippsland,Australia,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2100,3602.5484,3602.5484,0.0,1.0,89.934,89.934,0.0,1.0,True,True,True,,0,0.0,,0.0,9,9,1.0,1483,2.61,0.5736,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2179,2446.1429,2446.1429,0.0,1.0,383.817,383.817,0.0,1.0,True,True,True,,0,0.0,,0.0,9,9,1.0,1483,3.9,0.372,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2050,238.6332,238.6332,0.0,1.0,1.5656,1.5656,0.0,1.0,True,True,True,,0,0.0,,0.0,4,9,0.4444,270,1.74,0.6944,Gippsland,Australia,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,7394.8841,7394.8841,-0.0,1.0,454.2971,349.0183,105.2788,0.7683,True,False,False,2077.0,20,8626.3998,2086.0,105.2788,9,9,1.0,3961,2.55,0.5774,Browse,Australia,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.0309,0.0309,0.0,1.0,502.3427,397.064,105.2788,0.7904,True,False,False,2077.0,20,8626.3998,2086.0,105.2788,1,9,0.1111,1,1.0,1.0,Adavale,Australia,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,1958.8826,1958.8826,-0.0,1.0,12.0628,12.0628,-0.0,1.0,True,True,True,,0,0.0,,0.0,7,8,0.875,2197,2.74,0.5298,Campos,Brazil,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,173.5825,173.5825,0.0,1.0,298.8148,298.8148,-0.0,1.0,True,True,True,,0,0.0,,0.0,4,8,0.5,185,1.91,0.6835,Espirito Santo,Brazil,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.0001,0.0001,0.0,1.0,299.7018,299.7018,-0.0,1.0,True,True,True,,0,0.0,,0.0,1,8,0.125,1,1.0,1.0,Tucano,Brazil,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,443.9124,443.9124,0.0,1.0,3.5512,3.5512,0.0,1.0,True,True,True,,0,0.0,,0.0,3,3,1.0,634,1.81,0.6651,Scotian,Canada,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2100,3951.6571,702.287,3249.3702,0.1777,120.4991,38.134,82.3651,0.3165,False,False,False,2055.0,46,3249.3702,2100.0,82.3651,3,3,1.0,634,1.95,0.5791,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2179,1362.0628,702.287,659.7758,0.5156,350.7132,93.6147,257.0985,0.2669,False,False,False,2055.0,125,3337.5355,2107.0,257.0985,3,3,1.0,634,1.95,0.5791,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2050,443.9124,443.9124,0.0,1.0,2.8882,2.8882,0.0,1.0,True,True,True,,0,0.0,,0.0,2,3,0.6667,463,1.0,0.9991,Scotian,Canada,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,2659.4268,1376.3136,1283.1132,0.5175,388.041,68.2212,319.8198,0.1758,False,False,False,2058.0,43,14968.5942,2081.0,319.8198,3,3,1.0,1139,1.88,0.6287,Grand Banks,Canada,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.0081,0.0081,0.0,1.0,403.8995,82.1832,321.7162,0.2035,True,False,False,2058.0,47,14968.5942,2081.0,321.7162,1,3,0.3333,1,1.0,1.0,Beaufort-Mackenzie,Canada,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,424.6346,424.6346,0.0,1.0,4.5839,4.5839,0.0,1.0,True,True,True,,0,0.0,,0.0,18,20,0.9,473,7.1,0.2545,Caltanissetta,EU,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2100,964.445,964.445,-0.0,1.0,48.3272,48.3272,0.0,1.0,True,True,True,,0,0.0,,0.0,20,20,1.0,788,5.74,0.3216,West Barents,EU,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2179,165.5569,165.5569,-0.0,1.0,88.004,88.004,0.0,1.0,True,True,True,,0,0.0,,0.0,15,20,0.75,191,5.32,0.2626,Moesian,EU,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2050,424.6346,424.6346,-0.0,1.0,3.7047,3.7047,-0.0,1.0,True,True,True,,0,0.0,,0.0,16,20,0.8,457,5.36,0.2909,Po,EU,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,710.7039,710.7039,0.0,1.0,87.2681,87.2681,0.0,1.0,True,True,True,,0,0.0,,0.0,17,20,0.85,613,6.08,0.2516,Caltanissetta,EU,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.0987,0.0987,0.0,1.0,93.6128,93.6128,-0.0,1.0,True,True,True,,0,0.0,,0.0,1,20,0.05,1,1.0,1.0,Baltic,EU,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,172.734,172.734,-0.0,1.0,1.6875,1.6875,0.0,1.0,True,True,True,,0,0.0,,0.0,5,5,1.0,509,1.63,0.7539,Sabatayn,Middle East,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2100,491.3395,491.3395,0.0,1.0,22.8235,22.8235,0.0,1.0,True,True,True,,0,0.0,,0.0,5,5,1.0,509,1.96,0.6596,Al Daww,Middle East,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2179,80.3041,80.3041,0.0,1.0,42.8804,42.8804,0.0,1.0,True,True,True,,0,0.0,,0.0,4,5,0.8,148,2.01,0.5391,Sabatayn,Middle East,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2050,172.734,172.734,0.0,1.0,1.3459,1.3459,0.0,1.0,True,True,True,,0,0.0,,0.0,4,6,0.6667,283,1.82,0.6585,Sabatayn,Middle East,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,248.0512,248.0512,0.0,1.0,43.6609,43.6609,0.0,1.0,True,True,True,,0,0.0,,0.0,4,6,0.6667,283,1.57,0.7622,Sabatayn,Middle East,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.0082,0.0082,0.0,1.0,45.5067,45.5067,0.0,1.0,True,True,True,,0,0.0,,0.0,1,6,0.1667,1,1.0,1.0,Gaziantep,Middle East,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,11.0282,11.0282,0.0,1.0,0.0937,0.0937,0.0,1.0,True,True,True,,0,0.0,,0.0,1,2,0.5,30,1.0,1.0,Kra-Gulf of Thailand,Thailand,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2100,93.5988,93.5988,0.0,1.0,2.8103,2.8103,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,42,1.87,0.6331,Pattani,Thailand,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2179,40.0051,40.0051,0.0,1.0,8.7884,8.7884,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,42,1.32,0.8585,Kra-Gulf of Thailand,Thailand,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2050,11.0282,11.0282,0.0,1.0,0.0774,0.0774,0.0,1.0,True,True,True,,0,0.0,,0.0,1,2,0.5,49,1.0,1.0,Kra-Gulf of Thailand,Thailand,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,114.7553,114.7553,0.0,1.0,9.7044,9.7044,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,98,1.99,0.5308,Kra-Gulf of Thailand,Thailand,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.0012,0.0012,0.0,1.0,10.4963,10.4963,0.0,1.0,True,True,True,,0,0.0,,0.0,1,2,0.5,49,1.0,1.0,Kra-Gulf of Thailand,Thailand,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,246.2196,246.2196,-0.0,1.0,2.2916,2.2916,0.0,1.0,True,True,True,,0,0.0,,0.0,5,6,0.8333,456,2.96,0.4879,Moray Firth,UK,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2100,851.1864,851.1864,0.0,1.0,36.6859,36.6859,0.0,1.0,True,True,True,,0,0.0,,0.0,6,6,1.0,481,3.46,0.3798,Faroe-Shetland,UK,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2179,151.2581,151.2581,-0.0,1.0,72.8708,72.8708,0.0,1.0,True,True,True,,0,0.0,,0.0,4,6,0.6667,200,3.2,0.4169,Wessex,UK,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2050,246.2196,246.2196,0.0,1.0,1.8272,1.8272,-0.0,1.0,True,True,True,,0,0.0,,0.0,4,6,0.6667,357,2.74,0.4967,Wessex,UK,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,397.3684,397.3684,0.0,1.0,75.1272,75.1272,0.0,1.0,True,True,True,,0,0.0,,0.0,4,6,0.6667,357,2.88,0.4632,Moray Firth,UK,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.007,0.007,0.0,1.0,77.8942,77.8942,0.0,1.0,True,True,True,,0,0.0,,0.0,1,6,0.1667,12,1.0,1.0,East Midlands,UK,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,3723.8848,3723.8848,0.0,1.0,35.6979,35.6979,0.0,1.0,True,True,True,,0,0.0,,0.0,17,18,0.9444,2561,4.38,0.3115,Anadarko,US,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2100,5102.813,5102.813,-0.0,1.0,352.7029,352.7029,-0.0,1.0,True,True,True,,0,0.0,,0.0,18,18,1.0,5061,4.16,0.4016,Anadarko,US,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2179,311.3168,311.3168,0.0,1.0,497.074,497.074,-0.0,1.0,True,True,True,,0,0.0,,0.0,13,18,0.7222,334,4.79,0.3098,Sacramento,US,ipcc_high,v8_fixedC_deterministic,Gompertz,ascend
2050,3723.8848,3723.8848,-0.0,1.0,26.7519,26.7519,-0.0,1.0,True,True,True,,0,0.0,,0.0,16,18,0.8889,3312,4.06,0.3773,San Joaquin,US,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2100,743.1484,743.1484,0.0,1.0,500.1162,500.1162,-0.0,1.0,True,True,True,,0,0.0,,0.0,13,18,0.7222,732,3.21,0.4969,Sacramento,US,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2179,0.0052,0.0052,0.0,1.0,504.7437,504.7437,-0.0,1.0,True,True,True,,0,0.0,,0.0,1,18,0.0556,1,1.0,1.0,Paradox,US,ipcc_high,v8_fixedC_deterministic,Logistic,ascend
2050,6.2301,6.2301,0.0,1.0,0.0918,0.0918,0.0,1.0,True,True,True,,0,0.0,,0.0,3,4,0.75,83,1.31,0.8685,Canning,Australia,ipcc_low,v8_fixedC_deterministic,Gompertz,ascend
2100,30.3727,30.3727,0.0,1.0,0.8953,0.8953,0.0,1.0,True,True,True,,0,0.0,,0.0,3,4,0.75,83,1.06,0.973,Canning,Australia,ipcc_low,v8_fixedC_deterministic,Gompertz,ascend
2179,164.6765,164.6765,0.0,1.0,7.6767,7.6767,0.0,1.0,True,True,True,,0,0.0,,0.0,4,4,1.0,87,1.89,0.6283,Canning,Australia,ipcc_low,v8_fixedC_deterministic,Gompertz,ascend
2050,6.2301,6.2301,0.0,1.0,0.0882,0.0882,0.0,1.0,True,True,True,,0,0.0,,0.0,3,5,0.6,74,1.31,0.8685,Canning,Australia,ipcc_low,v8_fixedC_deterministic,Logistic,ascend
2100,52.6959,52.6959,-0.0,1.0,1.2005,1.2005,0.0,1.0,True,True,True,,0,0.0,,0.0,3,5,0.6,74,1.03,0.9845,Canning,Australia,ipcc_low,v8_fixedC_deterministic,Logistic,ascend
2179,1353.0016,1353.0016,0.0,1.0,34.5285,34.5285,0.0,1.0,True,True,True,,0,0.0,,0.0,5,5,1.0,1082,1.75,0.718,Bass,Australia,ipcc_low,v8_fixedC_deterministic,Logistic,ascend
2050,1.7853,1.7853,0.0,1.0,0.0331,0.0331,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,7,1.5,0.7888,Scotian,Canada,ipcc_low,v8_fixedC_deterministic,Logistic,ascend
2100,3.3671,3.3671,0.0,1.0,0.1586,0.1586,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,7,1.25,0.888,Scotian,Canada,ipcc_low,v8_fixedC_deterministic,Logistic,ascend
2179,9.1634,9.1634,0.0,1.0,0.6189,0.6189,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,7,1.09,0.9588,Scotian,Canada,ipcc_low,v8_fixedC_deterministic,Logistic,ascend
2050,87.9427,87.9427,-0.0,1.0,0.8211,0.8211,-0.0,1.0,True,True,True,,0,0.0,,0.0,12,21,0.5714,96,3.11,0.4102,Songliao,China,ipcc_low,v8_fixedC_deterministic,Gompertz,ascend
2100,1280.9547,1280.9547,0.0,1.0,29.1592,29.1592,0.0,1.0,True,True,True,,0,0.0,,0.0,20,21,0.9524,1200,7.39,0.2442,Pearl River Mouth,China,ipcc_low,v8_fixedC_deterministic,Gompertz,ascend
