country,scenario,model,years_of_shortfall_asc,total_unmet_volume_gt_asc,whole_period_pass_asc,years_of_shortfall_desc,total_unmet_volume_gt_desc,whole_period_pass_desc,d_years_of_shortfall,d_total_unmet_gt,pass_flip,total_wells_asc_2050,n_eff_asc_2050,active_basins_asc_2050,total_wells_desc_2050,n_eff_desc_2050,active_basins_desc_2050,d_total_wells_2050,d_n_eff_2050,d_active_basins_2050,total_wells_asc_2100,n_eff_asc_2100,active_basins_asc_2100,total_wells_desc_2100,n_eff_desc_2100,active_basins_desc_2100,d_total_wells_2100,d_n_eff_2100,d_active_basins_2100,total_wells_asc_2179,n_eff_asc_2179,active_basins_asc_2179,total_wells_desc_2179,n_eff_desc_2179,active_basins_desc_2179,d_total_wells_2179,d_n_eff_2179,d_active_basins_2179
Indonesia,ipcc_low,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,17,1.48,2,4,1.0,1,-13,-0.48,-1,17,1.08,2,4,1.0,1,-13,-0.08000000000000007,-1,29,2.03,3,4,1.0,1,-25,-1.0299999999999998,-2
Indonesia,ipcc_low,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,17,1.48,2,12,1.0,1,-5,-0.48,-1,59,2.05,3,12,1.0,1,-47,-1.0499999999999998,-2,115,2.77,4,12,1.0,1,-103,-1.77,-3
Middle East,ipcc_low,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,509,1.64,5,30,1.0,1,-479,-0.6399999999999999,-4,509,1.96,5,30,1.0,1,-479,-0.96,-4,148,2.01,4,30,1.0,1,-118,-1.0099999999999998,-3
Middle East,ipcc_low,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,283,1.82,4,81,1.0,1,-202,-0.8200000000000001,-3,283,1.58,4,81,1.0,1,-202,-0.5800000000000001,-3,1,1.0,1,81,1.0,1,80,0.0,0
Thailand,ipcc_low,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,30,1.0,1,16,1.0,1,-14,0.0,0,42,1.87,2,16,1.0,1,-26,-0.8700000000000001,-1,42,1.34,2,16,1.0,1,-26,-0.3400000000000001,-1
Thailand,ipcc_low,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,49,1.0,1,272,1.0,1,223,0.0,0,98,2.0,2,272,1.0,1,174,-1.0,-1,49,1.0,1,272,1.0,1,223,0.0,0
UK,ipcc_low,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,200,2.79,4,272,1.0,1,72,-1.79,-3,476,3.48,6,272,1.0,1,-204,-2.48,-5,200,3.28,4,272,1.0,1,72,-2.28,-3
UK,ipcc_low,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,357,2.55,4,961,1.0,1,604,-1.5499999999999998,-3,357,2.66,4,961,1.0,1,604,-1.6600000000000001,-3,12,1.0,1,961,1.0,1,949,0.0,0
Australia,maximum,Gompertz,91,1291.3612,False,91,1301.8986,False,0,10.537399999999934,False,138,1.71,4,342,1.0,1,204,-0.71,-3,1681,2.35,9,1789,2.9,9,108,0.5499999999999998,0,1681,2.35,9,1789,2.9,9,108,0.5499999999999998,0
Australia,maximum,Logistic,68,4621.1987,False,67,4607.3294,False,-1,-13.869300000000294,False,138,1.71,4,625,1.0,1,487,-0.71,-3,2036,2.29,9,2538,2.91,9,502,0.6200000000000001,0,38,1.09,3,625,1.0,1,587,-0.09000000000000008,-2
Brazil,maximum,Gompertz,79,367.2758,False,76,294.6735,False,-3,-72.60230000000001,False,886,2.42,7,3540,1.0,1,2654,-1.42,-6,6996,1.81,10,7542,2.02,4,546,0.20999999999999996,-6,6996,1.79,10,8071,2.3,10,1075,0.5099999999999998,0
Brazil,maximum,Logistic,31,1291.6963,False,33,1415.0757,False,2,123.37940000000003,False,1268,3.08,7,10712,1.0,1,9444,-2.08,-6,16750,1.57,10,19348,2.51,10,2598,0.9399999999999997,0,10,1.93,2,10712,1.0,1,10702,-0.9299999999999999,-1
Canada,maximum,Gompertz,121,1747.2768,False,122,1749.1736,False,1,1.8967999999999847,False,634,1.08,3,361,1.0,1,-273,-0.08000000000000007,-2,634,1.95,3,634,1.98,3,0,0.030000000000000027,0,634,1.95,3,634,1.98,3,0,0.030000000000000027,0
Canada,maximum,Logistic,88,3950.2203,False,88,3950.7978,False,0,0.5774999999998727,False,343,1.0,2,484,1.0,1,141,0.0,-1,827,1.92,3,827,1.98,3,0,0.06000000000000005,0,343,1.13,2,484,1.0,1,141,-0.1299999999999999,-1
China,maximum,Gompertz,121,2453.9832,False,121,2452.5122,False,0,-1.4710000000000036,False,400,6.75,17,630,2.35,3,230,-4.4,-14,1220,8.17,21,1218,8.68,21,-2,0.5099999999999998,0,1220,8.17,21,1218,8.68,21,-2,0.5099999999999998,0
China,maximum,Logistic,62,3857.5142,False,62,3857.4467,False,0,-0.06750000000010914,False,581,5.69,16,648,1.75,2,67,-3.9400000000000004,-14,1907,7.58,21,2037,9.11,21,130,1.5299999999999994,0,2,1.47,2,324,1.0,1,322,-0.47,-1
EU,maximum,Gompertz,84,204.3788,False,82,191.7825,False,-2,-12.596300000000014,False,1146,8.31,22,482,1.39,2,-664,-6.920000000000001,-20,3051,7.85,28,3366,10.08,28,315,2.2300000000000004,0,2589,9.43,27,1946,4.69,6,-643,-4.739999999999999,-21
EU,maximum,Logistic,30,395.7589,False,30,396.8307,False,0,1.071799999999996,False,1125,7.38,20,650,1.0,1,-475,-6.38,-19,5550,7.2,27,6001,7.04,8,451,-0.16000000000000014,-19,1,1.0,1,650,1.0,1,649,0.0,0
Indonesia,maximum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,47,2.04,3,441,1.0,1,394,-1.04,-2,510,2.98,9,651,1.64,2,141,-1.34,-7,552,3.47,10,651,1.8,2,99,-1.6700000000000002,-8
Indonesia,maximum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,59,1.99,3,900,1.0,1,841,-0.99,-2,3641,3.38,11,4407,2.92,3,766,-0.45999999999999996,-8,1,1.0,1,900,1.0,1,899,0.0,0
Middle East,maximum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,258,2.55,5,484,1.0,1,226,-1.5499999999999998,-4,3366,4.31,10,484,1.0,1,-2882,-3.3099999999999996,-9,3366,5.2,10,484,1.0,1,-2882,-4.2,-9
Middle East,maximum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,445,1.96,5,3844,1.0,1,3399,-0.96,-4,6588,3.65,10,3844,1.0,1,-2744,-2.65,-9,1,1.0,1,3844,1.0,1,3843,0.0,0
Thailand,maximum,Gompertz,64,11.3817,False,66,12.6015,False,2,1.2197999999999993,False,30,1.0,1,272,1.0,1,242,0.0,0,372,1.25,2,272,1.0,1,-100,-0.25,-1,372,1.16,2,321,1.27,2,-51,0.1100000000000001,0
Thailand,maximum,Logistic,41,66.3694,False,40,65.1351,False,-1,-1.2343000000000046,False,36,1.0,1,650,1.0,1,614,0.0,0,686,1.12,2,699,1.21,2,13,0.08999999999999986,0,36,1.0,1,650,1.0,1,614,0.0,0
UK,maximum,Gompertz,114,410.2865,False,115,417.3308,False,1,7.044300000000021,False,344,3.79,5,462,1.0,1,118,-2.79,-4,806,2.3,6,816,2.65,6,10,0.3500000000000001,0,806,2.3,6,816,2.65,6,10,0.3500000000000001,0
UK,maximum,Logistic,55,650.2283,False,55,644.8502,False,0,-5.378100000000018,False,217,2.78,4,961,1.0,1,744,-1.7799999999999998,-3,1502,2.14,6,1728,2.79,6,226,0.6499999999999999,0,12,1.0,1,961,1.0,1,949,0.0,0
US,maximum,Gompertz,120,2900.4228,False,120,2905.4499,False,0,5.027100000000246,False,3085,5.41,18,2949,2.21,3,-136,-3.2,-15,5104,6.1,20,5140,6.61,20,36,0.5100000000000007,0,5104,6.1,20,5140,6.61,20,36,0.5100000000000007,0
US,maximum,Logistic,54,4062.984,False,52,4039.848,False,-2,-23.135999999999967,False,2946,4.72,17,4754,1.33,2,1808,-3.3899999999999997,-15,9260,5.32,20,10360,6.97,20,1100,1.6499999999999995,0,5,3.03,5,2862,1.0,1,2857,-2.03,-4
Australia,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,44,1.09,3,16,1.0,1,-28,-0.09000000000000008,-2,80,2.02,4,16,1.0,1,-64,-1.02,-3,80,1.56,4,16,1.0,1,-64,-0.56,-3
Australia,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,44,1.09,3,49,1.0,1,5,-0.09000000000000008,-2,450,2.33,5,49,1.0,1,-401,-1.33,-4,44,1.03,3,49,1.0,1,5,-0.030000000000000027,-2
Brazil,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,94,2.11,4,12,1.0,1,-82,-1.1099999999999999,-3,194,2.59,5,12,1.0,1,-182,-1.5899999999999999,-4,194,2.02,5,12,1.0,1,-182,-1.02,-4
Brazil,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,130,2.16,4,30,1.0,1,-100,-1.1600000000000001,-3,451,2.95,6,30,1.0,1,-421,-1.9500000000000002,-5,10,1.16,2,30,1.0,1,20,-0.15999999999999992,-1
Canada,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,197,1.02,2,42,1.0,1,-155,-0.020000000000000018,-1,197,1.0,2,42,1.0,1,-155,0.0,-1,197,1.0,2,42,1.0,1,-155,0.0,-1
Canada,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,931,1.02,2,484,1.0,1,-447,-0.020000000000000018,-1,931,1.0,2,484,1.0,1,-447,0.0,-1,931,1.04,2,484,1.0,1,-447,-0.040000000000000036,-1
China,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,29,1.44,10,90,1.0,1,61,-0.43999999999999995,-9,131,2.76,12,90,1.0,1,-41,-1.7599999999999998,-11,135,3.44,13,90,1.0,1,-45,-2.44,-12
China,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,29,1.44,10,420,1.0,1,391,-0.43999999999999995,-9,390,4.58,15,420,1.0,1,30,-3.58,-14,59,2.15,11,420,1.0,1,361,-1.15,-10
EU,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,44,2.64,11,4,1.0,1,-40,-1.6400000000000001,-10,56,3.13,12,4,1.0,1,-52,-2.13,-11,44,2.9,11,4,1.0,1,-40,-1.9,-10
EU,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,44,2.65,11,6,1.0,1,-38,-1.65,-10,100,2.75,12,6,1.0,1,-94,-1.75,-11,10,6.97,9,6,1.0,1,-4,-5.97,-8
Indonesia,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,2,1.35,2,1,1.0,1,-1,-0.3500000000000001,-1,2,1.13,2,1,1.0,1,-1,-0.1299999999999999,-1,2,1.27,2,1,1.0,1,-1,-0.27,-1
Indonesia,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,17,1.35,2,2,1.0,1,-15,-0.3500000000000001,-1,17,1.05,2,2,1.0,1,-15,-0.050000000000000044,-1,1,1.0,1,2,1.0,1,1,0.0,0
Middle East,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,32,1.05,3,2,1.0,1,-30,-0.050000000000000044,-2,32,1.03,3,2,1.0,1,-30,-0.030000000000000027,-2,32,1.08,3,2,1.0,1,-30,-0.08000000000000007,-2
Middle East,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,58,1.05,3,4,1.0,1,-54,-0.050000000000000044,-2,58,1.02,3,4,1.0,1,-54,-0.020000000000000018,-2,58,2.66,3,4,1.0,1,-54,-1.6600000000000001,-2
Thailand,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,1,1.0,1,2,1.0,1,1,0.0,0,1,1.0,1,2,1.0,1,1,0.0,0,1,1.0,1,2,1.0,1,1,0.0,0
Thailand,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,4,1.0,1,4,1.0,1,0,0.0,0,4,1.0,1,4,1.0,1,0,0.0,0,4,1.0,1,4,1.0,1,0,0.0,0
UK,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,51,1.9,2,4,1.0,1,-47,-0.8999999999999999,-1,51,1.42,2,4,1.0,1,-47,-0.41999999999999993,-1,51,1.93,2,4,1.0,1,-47,-0.9299999999999999,-1
UK,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,102,2.0,2,9,1.0,1,-93,-1.0,-1,102,1.23,2,9,1.0,1,-93,-0.22999999999999998,-1,12,1.0,1,9,1.0,1,-3,0.0,0
US,minimum,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,206,4.35,13,20,1.0,1,-186,-3.3499999999999996,-12,206,3.91,13,20,1.0,1,-186,-2.91,-12,186,3.57,12,20,1.0,1,-166,-2.57,-11
US,minimum,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,269,4.23,12,42,1.0,1,-227,-3.2300000000000004,-11,558,2.7,13,42,1.0,1,-516,-1.7000000000000002,-12,19,1.6,8,42,1.0,1,23,-0.6000000000000001,-7
Australia,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,138,1.72,4,342,1.0,1,204,-0.72,-3,1483,3.49,9,1018,1.42,2,-465,-2.0700000000000003,-7,1483,3.43,9,1018,1.45,2,-465,-1.9800000000000002,-7
Australia,policy,Logistic,20,87.8177,False,22,107.6029,False,2,19.785200000000003,False,166,1.93,4,930,1.0,1,764,-0.9299999999999999,-3,3813,1.79,9,5325,3.39,9,1512,1.6,0,2,1.01,2,930,1.0,1,928,-0.010000000000000009,-1
Brazil,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,886,2.73,7,169,1.0,1,-717,-1.73,-6,1228,1.97,8,169,1.0,1,-1059,-0.97,-7,886,3.37,7,169,1.0,1,-717,-2.37,-6
Brazil,policy,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,1931,3.43,7,676,1.0,1,-1255,-2.43,-6,1931,2.59,7,676,1.0,1,-1255,-1.5899999999999999,-6,1,1.0,1,676,1.0,1,675,0.0,0
Canada,policy,Gompertz,63,34.926,False,63,35.17,False,0,0.24399999999999977,False,343,1.01,2,484,1.0,1,141,-0.010000000000000009,-1,827,1.99,3,946,1.6,2,119,-0.3899999999999999,-1,827,1.83,3,947,2.0,3,120,0.16999999999999993,0
Canada,policy,Logistic,80,308.2817,False,81,310.0857,False,1,1.8039999999999736,False,343,1.01,2,361,1.0,1,18,-0.010000000000000009,-1,827,1.88,3,824,2.0,3,-3,0.1200000000000001,0,343,1.0,2,361,1.0,1,18,0.0,-1
China,policy,Gompertz,101,126.3852,False,101,127.7299,False,0,1.3447000000000031,False,202,4.36,14,210,1.0,1,8,-3.3600000000000003,-13,1247,7.92,21,1371,9.05,21,124,1.1300000000000008,0,1247,7.92,21,1371,9.05,21,124,1.1300000000000008,0
China,policy,Logistic,37,231.2269,False,37,231.5488,False,0,0.3218999999999994,False,223,3.63,13,420,1.0,1,197,-2.63,-12,2921,6.6,21,3017,9.76,21,96,3.16,0,2,1.73,2,420,1.0,1,418,-0.73,-1
EU,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,304,7.23,17,64,1.0,1,-240,-6.23,-16,893,4.49,19,64,1.0,1,-829,-3.49,-18,240,6.44,16,64,1.0,1,-176,-5.44,-15
EU,policy,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,333,5.22,15,132,1.0,1,-201,-4.22,-14,1333,5.97,19,132,1.0,1,-1201,-4.97,-18,2,1.44,2,132,1.0,1,130,-0.43999999999999995,-1
Indonesia,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,53,1.99,3,9,1.0,1,-44,-0.99,-2,145,3.7,5,9,1.0,1,-136,-2.7,-4,53,1.59,3,9,1.0,1,-44,-0.5900000000000001,-2
Indonesia,policy,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,98,1.73,3,144,1.0,1,46,-0.73,-2,98,1.93,3,144,1.0,1,46,-0.9299999999999999,-2,1,1.0,1,144,1.0,1,143,0.0,0
Middle East,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,148,1.53,4,30,1.0,1,-118,-0.53,-3,509,1.96,5,30,1.0,1,-479,-0.96,-4,148,1.99,4,30,1.0,1,-118,-0.99,-3
Middle East,policy,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,283,1.85,4,81,1.0,1,-202,-0.8500000000000001,-3,283,1.53,4,81,1.0,1,-202,-0.53,-3,1,1.0,1,81,1.0,1,80,0.0,0
