country,scenario,model,allocation_order,checkpoint,basin,region_no,allocated_rate_mt_yr,max_feasible_rate_mt_yr,utilisation_ratio,delivered_cumulative_gt,share_of_country_annual,share_of_country_cumulative,wells_used,step_rank,assigned_period_yr
China,growth10,Logistic,descend,2100,Bose,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Sanshui,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Jiuquan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Junggar,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Santanghu,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Sichuan,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2100,Hailar-Temtsag,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
China,growth10,Logistic,descend,2179,Tarim,183,317.8842,317.8842,1.0,33.598483,0.1431,0.194,256,1,110
China,growth10,Logistic,descend,2179,Huabei,70,320.9155,320.9155,1.0,27.721764,0.1445,0.16,256,2,90
China,growth10,Logistic,descend,2179,Pearl River Mouth,136,351.5492,351.5492,1.0,27.61128,0.1583,0.1594,272,3,80
China,growth10,Logistic,descend,2179,Bohai Bay,24,251.3689,251.3689,1.0,18.536775,0.1132,0.107,210,4,80
China,growth10,Logistic,descend,2179,Beibuwan,19,181.0166,181.0166,1.0,12.86388,0.0815,0.0743,100,5,80
China,growth10,Logistic,descend,2179,Ordos,127,183.6446,183.6446,1.0,12.689027,0.0827,0.0733,156,6,70
China,growth10,Logistic,descend,2179,Subei,177,174.8372,174.8372,1.0,11.783529,0.0787,0.068,110,7,70
China,growth10,Logistic,descend,2179,Erlian,52,133.5247,133.5247,1.0,8.801949,0.0601,0.0508,121,8,70
China,growth10,Logistic,descend,2179,Nanxiang,107,105.3935,105.3935,1.0,6.850574,0.0475,0.0395,81,9,70
China,growth10,Logistic,descend,2179,Songliao,170,94.8414,94.8414,1.0,6.071129,0.0427,0.035,90,10,70
China,growth10,Logistic,descend,2179,Turpan,192,57.9064,57.9064,1.0,3.681917,0.0261,0.0213,56,11,70
China,growth10,Logistic,descend,2179,Yilan-Yitong,201,44.2584,44.2584,1.0,2.78828,0.0199,0.0161,42,12,70
China,growth10,Logistic,descend,2179,Jianghan,76,0.7045,0.7045,1.0,0.044386,0.0003,0.0003,1,13,70
China,growth10,Logistic,descend,2179,Qaidam,146,0.6217,0.6217,1.0,0.039169,0.0003,0.0002,1,14,70
China,growth10,Logistic,descend,2179,Bose,26,0.6155,0.6155,1.0,0.038776,0.0003,0.0002,1,15,70
China,growth10,Logistic,descend,2179,Sanshui,157,0.5584,0.5584,1.0,0.035179,0.0003,0.0002,1,16,70
China,growth10,Logistic,descend,2179,Jiuquan,77,0.4688,0.4688,1.0,0.029533,0.0002,0.0002,1,17,70
China,growth10,Logistic,descend,2179,Junggar,78,0.3715,0.3715,1.0,0.023404,0.0002,0.0001,1,18,70
China,growth10,Logistic,descend,2179,Santanghu,158,0.1075,0.1075,1.0,0.006771,0.0,0.0,1,19,70
China,growth10,Logistic,descend,2179,Sichuan,166,0.1058,0.1058,1.0,0.006668,0.0,0.0,1,20,70
China,growth10,Logistic,descend,2179,Hailar-Temtsag,69,0.0407,0.0407,1.0,0.002566,0.0,0.0,1,21,70
EU,growth10,Gompertz,descend,2050,Aquitaine-Bay of Biscay,8,125.5123,908.082,0.1382,1.598065,1.0,1.0,30,1,150
EU,growth10,Gompertz,descend,2100,Aquitaine-Bay of Biscay,8,493.1173,908.082,0.543,17.349159,1.0,1.0,30,1,150
EU,growth10,Gompertz,descend,2179,Aquitaine-Bay of Biscay,8,450.6232,908.082,0.4962,59.938307,1.0,1.0,30,1,150
EU,growth10,Logistic,descend,2050,Aquitaine-Bay of Biscay,8,125.5123,1768.9711,0.071,1.414785,1.0,1.0,272,1,70
EU,growth10,Logistic,descend,2100,Aquitaine-Bay of Biscay,8,1682.2328,1768.9711,0.951,40.346628,1.0,1.0,272,1,70
EU,growth10,Logistic,descend,2179,Aquitaine-Bay of Biscay,8,28.3947,1768.9711,0.0161,93.230361,1.0,1.0,272,1,70
Indonesia,growth10,Gompertz,descend,2050,North Sumatra,120,5.2914,445.8087,0.0119,0.065546,1.0,1.0,4,1,150
Indonesia,growth10,Gompertz,descend,2100,North Sumatra,120,33.2245,445.8087,0.0745,0.937131,1.0,1.0,4,1,150
Indonesia,growth10,Gompertz,descend,2179,North Sumatra,120,73.1328,445.8087,0.164,5.567495,1.0,1.0,4,1,150
Indonesia,growth10,Logistic,descend,2050,North Sumatra,120,5.2914,445.8087,0.0119,0.059687,1.0,1.0,16,1,150
Indonesia,growth10,Logistic,descend,2100,North Sumatra,120,141.2626,445.8087,0.3169,2.355945,1.0,1.0,16,1,150
Indonesia,growth10,Logistic,descend,2179,North Sumatra,120,22.3437,445.8087,0.0501,15.576251,1.0,1.0,16,1,150
Middle East,growth10,Gompertz,descend,2050,Arabian,9,30.4796,4779.6748,0.0064,0.381121,1.0,1.0,16,1,150
Middle East,growth10,Gompertz,descend,2100,Arabian,9,156.7164,4779.6748,0.0328,4.850898,1.0,1.0,16,1,150
Middle East,growth10,Gompertz,descend,2179,Arabian,9,229.7765,4779.6748,0.0481,22.264454,1.0,1.0,16,1,150
Middle East,growth10,Logistic,descend,2050,Arabian,9,30.4796,4779.6748,0.0064,0.342616,1.0,1.0,42,1,150
Middle East,growth10,Logistic,descend,2100,Arabian,9,640.8214,4779.6748,0.1341,12.170793,1.0,1.0,42,1,150
Middle East,growth10,Logistic,descend,2179,Arabian,9,29.4147,4779.6748,0.0062,45.110177,1.0,1.0,42,1,150
Thailand,growth10,Gompertz,descend,2050,Pattani,135,1.4964,251.2525,0.006,0.017515,1.0,1.0,9,1,150
Thailand,growth10,Gompertz,descend,2100,Pattani,135,13.1294,251.2525,0.0523,0.326271,1.0,1.0,9,1,150
Thailand,growth10,Gompertz,descend,2179,Pattani,135,42.4575,251.2525,0.169,2.646,1.0,1.0,9,1,150
Thailand,growth10,Logistic,descend,2050,Pattani,135,1.4964,251.2525,0.006,0.016049,1.0,1.0,64,1,150
Thailand,growth10,Logistic,descend,2100,Pattani,135,63.3101,251.2525,0.252,0.910462,1.0,1.0,64,1,150
Thailand,growth10,Logistic,descend,2179,Pattani,135,17.6069,251.2525,0.0701,10.275063,1.0,1.0,64,1,150
UK,growth10,Gompertz,descend,2050,Faroe-Shetland,55,34.797,571.9449,0.0608,0.431274,1.0,1.0,42,1,150
UK,growth10,Gompertz,descend,2100,Faroe-Shetland,55,203.6984,571.9449,0.3562,5.941558,1.0,1.0,42,1,150
UK,growth10,Gompertz,descend,2179,Faroe-Shetland,55,379.7654,571.9449,0.664,31.80884,1.0,1.0,42,1,150
UK,growth10,Logistic,descend,2050,Faroe-Shetland,55,34.797,1424.365,0.0244,0.390569,1.0,1.0,961,1,60
UK,growth10,Logistic,descend,2100,Faroe-Shetland,55,870.9932,1424.365,0.6115,15.143517,1.0,1.0,961,1,60
UK,growth10,Logistic,descend,2179,Faroe-Shetland,55,75.9993,1424.365,0.0534,76.866525,1.0,1.0,961,1,60
US,growth10,Gompertz,descend,2050,Permian,138,401.3371,3068.1448,0.1308,5.070336,1.0,1.0,625,1,90
US,growth10,Gompertz,descend,2100,Permian,138,1915.7225,3068.1448,0.6244,61.247905,1.0,1.0,625,1,90
US,growth10,Gompertz,descend,2179,Permian,138,2543.7741,3068.1448,0.8291,262.61358,1.0,1.0,625,1,90
US,growth10,Logistic,descend,2050,Permian,138,401.3371,2721.6701,0.1475,4.546994,1.0,1.0,930,1,100
US,growth10,Logistic,descend,2050,North Slope,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
US,growth10,Logistic,descend,2050,Illinois,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
US,growth10,Logistic,descend,2100,Permian,138,2721.6701,2721.6701,1.0,99.256816,0.3633,0.664,930,1,100
US,growth10,Logistic,descend,2100,North Slope,119,4769.5537,4873.4146,0.9787,50.236642,0.6367,0.336,4096,2,50
US,growth10,Logistic,descend,2100,Illinois,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
US,growth10,Logistic,descend,2179,Permian,138,299.7485,2721.6701,0.1101,260.69499,1.0,0.5207,930,1,100
US,growth10,Logistic,descend,2179,North Slope,0,0.0,0.0,0.0,216.727517,0.0,0.4329,0,0,0
US,growth10,Logistic,descend,2179,Illinois,0,0.0,0.0,0.0,23.209352,0.0,0.0464,0,0,0
Australia,ipcc_high,Gompertz,descend,2050,Browse,28,238.6332,2084.1415,0.1145,1.871698,1.0,1.0,342,1,120
Australia,ipcc_high,Gompertz,descend,2050,North Carnarvon,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Gompertz,descend,2050,Bonaparte,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Gompertz,descend,2050,Perth,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Gompertz,descend,2050,Bass,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Gompertz,descend,2100,Browse,28,2084.1415,2084.1415,1.0,73.730963,0.5785,0.8198,342,1,120
Australia,ipcc_high,Gompertz,descend,2100,North Carnarvon,113,868.0415,868.0415,1.0,12.821533,0.241,0.1426,676,2,90
Australia,ipcc_high,Gompertz,descend,2100,Bonaparte,25,618.7233,618.7233,1.0,3.349861,0.1717,0.0372,462,3,70
Australia,ipcc_high,Gompertz,descend,2100,Perth,139,31.6422,365.5448,0.0866,0.031642,0.0088,0.0004,324,4,50
Australia,ipcc_high,Gompertz,descend,2100,Bass,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Gompertz,descend,2179,Browse,28,2084.1415,2084.1415,1.0,238.378145,0.852,0.6211,342,1,120
Australia,ipcc_high,Gompertz,descend,2179,North Carnarvon,113,362.0014,868.0415,0.417,78.157704,0.148,0.2036,676,2,90
Australia,ipcc_high,Gompertz,descend,2179,Bonaparte,0,0.0,0.0,0.0,40.390137,0.0,0.1052,0,0,0
Australia,ipcc_high,Gompertz,descend,2179,Perth,0,0.0,0.0,0.0,16.856524,0.0,0.0439,0,0,0
Australia,ipcc_high,Gompertz,descend,2179,Bass,0,0.0,0.0,0.0,10.034486,0.0,0.0261,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Browse,28,238.6332,4954.2569,0.0482,1.565639,1.0,1.0,930,1,50
Australia,ipcc_high,Logistic,descend,2050,North Carnarvon,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Bonaparte,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Perth,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Bass,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Gippsland,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Canning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Bowen-Surat,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2050,Adavale,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2100,Browse,28,4954.2569,4954.2569,1.0,185.141453,0.67,0.5432,930,1,50
Australia,ipcc_high,Logistic,descend,2100,North Carnarvon,113,2440.6272,2607.9886,0.9358,75.485044,0.33,0.2215,1722,2,30
Australia,ipcc_high,Logistic,descend,2100,Bonaparte,0,0.0,0.0,0.0,36.136451,0.0,0.106,0,0,0
Australia,ipcc_high,Logistic,descend,2100,Perth,0,0.0,0.0,0.0,14.435023,0.0,0.0424,0,0,0
Australia,ipcc_high,Logistic,descend,2100,Bass,0,0.0,0.0,0.0,13.581683,0.0,0.0399,0,0,0
Australia,ipcc_high,Logistic,descend,2100,Gippsland,0,0.0,0.0,0.0,11.106675,0.0,0.0326,0,0,0
Australia,ipcc_high,Logistic,descend,2100,Canning,0,0.0,0.0,0.0,4.912141,0.0,0.0144,0,0,0
Australia,ipcc_high,Logistic,descend,2100,Bowen-Surat,0,0.0,0.0,0.0,0.012721,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2100,Adavale,0,0.0,0.0,0.0,0.004103,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Browse,28,0.0309,4954.2569,0.0,230.897013,1.0,0.5938,930,1,50
Australia,ipcc_high,Logistic,descend,2179,North Carnarvon,0,0.0,0.0,0.0,77.77514,0.0,0.2,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Bonaparte,0,0.0,0.0,0.0,36.136451,0.0,0.0929,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Perth,0,0.0,0.0,0.0,14.435023,0.0,0.0371,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Bass,0,0.0,0.0,0.0,13.581683,0.0,0.0349,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Gippsland,0,0.0,0.0,0.0,11.106675,0.0,0.0286,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Canning,0,0.0,0.0,0.0,4.912141,0.0,0.0126,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Bowen-Surat,0,0.0,0.0,0.0,0.012721,0.0,0.0,0,0,0
Australia,ipcc_high,Logistic,descend,2179,Adavale,0,0.0,0.0,0.0,0.004103,0.0,0.0,0,0,0
Brazil,ipcc_high,Logistic,descend,2050,Foz do Amazonas,58,1958.8826,14541.8969,0.1347,12.062789,1.0,1.0,1024,1,80
Brazil,ipcc_high,Logistic,descend,2100,Foz do Amazonas,58,173.5825,14541.8969,0.0119,298.814771,1.0,1.0,1024,1,80
Brazil,ipcc_high,Logistic,descend,2179,Foz do Amazonas,58,0.0001,14541.8969,0.0,299.701777,1.0,1.0,1024,1,80
Canada,ipcc_high,Gompertz,descend,2050,Grand Banks,64,381.1416,381.1416,1.0,3.469661,0.8586,0.977,361,1,140
Canada,ipcc_high,Gompertz,descend,2050,Scotian,163,62.7708,305.2033,0.2057,0.081579,0.1414,0.023,272,2,130
Canada,ipcc_high,Gompertz,descend,2050,Beaufort-Mackenzie,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Canada,ipcc_high,Gompertz,descend,2100,Grand Banks,64,381.1416,381.1416,1.0,22.526741,0.555,0.602,361,1,140
Canada,ipcc_high,Gompertz,descend,2100,Scotian,163,305.2033,305.2033,1.0,14.873964,0.4444,0.3975,272,2,130
Canada,ipcc_high,Gompertz,descend,2100,Beaufort-Mackenzie,18,0.378,0.378,1.0,0.017388,0.0006,0.0005,1,3,130
Canada,ipcc_high,Gompertz,descend,2179,Grand Banks,64,381.1416,381.1416,1.0,52.636928,0.555,0.5742,361,1,140
Canada,ipcc_high,Gompertz,descend,2179,Scotian,163,305.2033,305.2033,1.0,38.985027,0.4444,0.4253,272,2,130
Canada,ipcc_high,Gompertz,descend,2179,Beaufort-Mackenzie,18,0.378,0.378,1.0,0.047251,0.0006,0.0005,1,3,130
Canada,ipcc_high,Logistic,descend,2050,Grand Banks,64,443.9124,753.9538,0.5888,2.888231,1.0,1.0,676,1,70
Canada,ipcc_high,Logistic,descend,2050,Scotian,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Canada,ipcc_high,Logistic,descend,2050,Beaufort-Mackenzie,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Canada,ipcc_high,Logistic,descend,2100,Grand Banks,64,753.9538,753.9538,1.0,40.170541,0.4949,0.5388,676,1,70
Canada,ipcc_high,Logistic,descend,2100,Scotian,163,769.2225,769.2225,1.0,34.365732,0.5049,0.461,650,2,50
Canada,ipcc_high,Logistic,descend,2100,Beaufort-Mackenzie,18,0.3843,0.3843,1.0,0.016524,0.0003,0.0002,1,3,50
Canada,ipcc_high,Logistic,descend,2179,Grand Banks,64,0.0081,753.9538,0.0,50.672204,1.0,0.5692,676,1,70
Canada,ipcc_high,Logistic,descend,2179,Scotian,0,0.0,0.0,0.0,38.340214,0.0,0.4306,0,0,0
Canada,ipcc_high,Logistic,descend,2179,Beaufort-Mackenzie,0,0.0,0.0,0.0,0.017677,0.0,0.0002,0,0,0
EU,ipcc_high,Gompertz,descend,2050,Aquitaine-Bay of Biscay,8,424.6346,1071.015,0.3965,4.583873,1.0,1.0,144,1,120
