checkpoint,annual_demand_mt_yr,annual_screened_mt_yr,annual_gap_mt_yr,r_annual,cumulative_demand_gt,cumulative_screened_gt,cumulative_gap_gt,r_cumulative,annual_pass,cumulative_pass,overall_pass,first_shortfall_year,years_of_shortfall,max_gap_rate_mt_yr,max_gap_year,total_unmet_volume_gt,active_basins,total_basins,active_basin_fraction,total_wells,n_eff,largest_basin_share,dominant_basin_name,country,scenario,pathway,model,allocation_order
2050,3723.8848,3723.8848,0.0,1.0,35.6979,35.6979,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,4962,1.8,0.6659,Permian,US,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2100,5102.813,5102.813,0.0,1.0,352.7029,352.7029,0.0,1.0,True,True,True,,0,0.0,,0.0,2,2,1.0,4962,2.0,0.514,North Slope,US,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2179,311.3168,311.3168,0.0,1.0,497.074,497.074,0.0,1.0,True,True,True,,0,0.0,,0.0,1,2,0.5,930,1.0,1.0,Permian,US,ipcc_high,v8_fixedC_deterministic,Gompertz,descend
2050,3723.8848,3723.8848,0.0,1.0,26.7519,26.7519,0.0,1.0,True,True,True,,0,0.0,,0.0,1,3,0.3333,2862,1.0,1.0,Permian,US,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2100,743.1484,743.1484,0.0,1.0,500.1162,500.1162,0.0,1.0,True,True,True,,0,0.0,,0.0,1,3,0.3333,2862,1.0,1.0,Permian,US,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2179,0.0052,0.0052,0.0,1.0,504.7437,504.7437,0.0,1.0,True,True,True,,0,0.0,,0.0,1,3,0.3333,2862,1.0,1.0,Permian,US,ipcc_high,v8_fixedC_deterministic,Logistic,descend
2050,6.2301,6.2301,0.0,1.0,0.0918,0.0918,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,9,1.0,1.0,Browse,Australia,ipcc_low,v8_fixedC_deterministic,Gompertz,descend
2100,30.3727,30.3727,0.0,1.0,0.8953,0.8953,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,9,1.0,1.0,Browse,Australia,ipcc_low,v8_fixedC_deterministic,Gompertz,descend
2179,164.6765,164.6765,0.0,1.0,7.6767,7.6767,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,9,1.0,1.0,Browse,Australia,ipcc_low,v8_fixedC_deterministic,Gompertz,descend
2050,6.2301,6.2301,0.0,1.0,0.0882,0.0882,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,72,1.0,1.0,Browse,Australia,ipcc_low,v8_fixedC_deterministic,Logistic,descend
2100,52.6959,52.6959,0.0,1.0,1.2005,1.2005,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,72,1.0,1.0,Browse,Australia,ipcc_low,v8_fixedC_deterministic,Logistic,descend
2179,1353.0016,1353.0016,0.0,1.0,34.5285,34.5285,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,72,1.0,1.0,Browse,Australia,ipcc_low,v8_fixedC_deterministic,Logistic,descend
2050,1.7853,1.7853,0.0,1.0,0.0331,0.0331,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,2,1.0,1.0,Grand Banks,Canada,ipcc_low,v8_fixedC_deterministic,Logistic,descend
2100,3.3671,3.3671,0.0,1.0,0.1586,0.1586,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,2,1.0,1.0,Grand Banks,Canada,ipcc_low,v8_fixedC_deterministic,Logistic,descend
2179,9.1634,9.1634,0.0,1.0,0.6189,0.6189,0.0,1.0,True,True,True,,0,0.0,,0.0,1,1,1.0,2,1.0,1.0,Grand Banks,Canada,ipcc_low,v8_fixedC_deterministic,Logistic,descend
2050,87.9427,87.9427,0.0,1.0,0.8211,0.8211,0.0,1.0,True,True,True,,0,0.0,,0.0,1,21,0.0476,256,1.0,1.0,Tarim,China,ipcc_low,v8_fixedC_deterministic,Gompertz,descend
2100,1280.9547,1280.9547,0.0,1.0,29.1592,29.1592,0.0,1.0,True,True,True,,0,0.0,,0.0,6,21,0.2857,1204,5.32,0.2213,Pearl River Mouth,China,ipcc_low,v8_fixedC_deterministic,Gompertz,descend
