country,scenario,model,ordering,rescreen_status,rescreen_pass,rescreen_total_unmet_gt,rescreen_years_of_shortfall,rescreen_total_wells_2050,rescreen_total_wells_2100,rescreen_active_basins_2050,rescreen_active_basins_2100
Australia,reference,Logistic,descending,ok,True,0.0,0,1521,1521,1,1
Australia,us1gt,Logistic,descending,ok,True,0.0,0,1521,1521,1,1
Brazil,maximum,Gompertz,descending,ok,True,0.0,0,3540,5180,1,2
Brazil,maximum,Logistic,descending,ok,True,0.0,0,1681,1681,1,1
Canada,growth10,Logistic,descending,ok,True,0.0,0,1024,1024,1,1
Canada,ipcc_high,Gompertz,descending,ok,True,0.0,0,361,361,1,1
Canada,ipcc_high,Logistic,descending,ok,True,0.0,0,484,484,1,1
Canada,maximum,Gompertz,descending,ok,True,0.0,0,361,361,1,1
Canada,maximum,Logistic,descending,ok,True,0.0,0,272,272,1,1
Canada,policy,Gompertz,descending,ok,True,0.0,0,484,925,1,2
Canada,policy,Logistic,descending,ok,True,0.0,0,361,361,1,1
Canada,reference,Gompertz,descending,ok,True,0.0,0,361,361,1,1
Canada,reference,Logistic,descending,ok,True,0.0,0,361,361,1,1
Canada,us1gt,Gompertz,descending,ok,True,0.0,0,361,361,1,1
Canada,us1gt,Logistic,descending,ok,True,0.0,0,361,361,1,1
China,growth10,Logistic,descending,ok,True,0.0,0,256,580,1,2
China,ipcc_low,Gompertz,descending,ok,True,0.0,0,256,1048,1,5
China,ipcc_low,Logistic,descending,ok,True,0.0,0,420,2660,1,3
China,maximum,Gompertz,descending,ok,True,0.0,0,580,1572,2,3
China,maximum,Logistic,descending,ok,True,0.0,0,870,870,1,1
China,policy,Gompertz,descending,ok,True,0.0,0,210,1416,1,6
China,policy,Logistic,descending,ok,True,0.0,0,600,600,1,1
China,reference,Gompertz,descending,ok,True,0.0,0,512,974,2,3
China,reference,Logistic,descending,ok,True,0.0,0,600,600,1,1
China,us1gt,Gompertz,descending,ok,True,0.0,0,580,1042,2,3
China,us1gt,Logistic,descending,ok,True,0.0,0,600,600,1,1
EU,maximum,Gompertz,descending,ok,True,0.0,0,482,2952,2,7
EU,maximum,Logistic,descending,ok,True,0.0,0,650,650,1,1
Thailand,maximum,Gompertz,descending,ok,True,0.0,0,272,272,1,1
Thailand,maximum,Logistic,descending,ok,True,0.0,0,462,462,1,1
UK,maximum,Gompertz,descending,ok,True,0.0,0,961,961,1,1
UK,maximum,Logistic,descending,ok,True,0.0,0,930,930,1,1
US,maximum,Gompertz,descending,ok,True,0.0,0,2822,5738,2,3
US,maximum,Logistic,descending,ok,True,0.0,0,2862,2862,1,1
