country,scenario,model,ordering,checkpoint,basin,delivered_rate_mt_yr,wells_used
Australia,maximum,Gompertz,ascending,2050,Bowen-Surat,0.619,1
Australia,maximum,Gompertz,ascending,2050,Canning,48.6216,36
Australia,maximum,Gompertz,ascending,2050,Gippsland,120.4362,100
Australia,maximum,Gompertz,ascending,2100,Adavale,0.2002,1
Australia,maximum,Gompertz,ascending,2100,Bass,135.9107,132
Australia,maximum,Gompertz,ascending,2100,Bonaparte,363.9823,272
Australia,maximum,Gompertz,ascending,2100,Bowen-Surat,0.619,1
Australia,maximum,Gompertz,ascending,2100,Browse,1290.6687,342
Australia,maximum,Gompertz,ascending,2100,Canning,48.6216,36
Australia,maximum,Gompertz,ascending,2100,Gippsland,129.6462,100
Australia,maximum,Gompertz,ascending,2100,North Carnarvon,717.3272,676
Australia,maximum,Gompertz,ascending,2100,Perth,139.7935,121
Australia,maximum,Gompertz,ascending,2179,Adavale,0.2002,1
Australia,maximum,Gompertz,ascending,2179,Bass,135.9107,132
Australia,maximum,Gompertz,ascending,2179,Bonaparte,363.9823,272
Australia,maximum,Gompertz,ascending,2179,Bowen-Surat,0.619,1
Australia,maximum,Gompertz,ascending,2179,Browse,1385.9591,342
Australia,maximum,Gompertz,ascending,2179,Canning,48.6216,36
Australia,maximum,Gompertz,ascending,2179,Gippsland,129.6462,100
Australia,maximum,Gompertz,ascending,2179,North Carnarvon,717.3272,676
Australia,maximum,Gompertz,ascending,2179,Perth,139.7935,121
Australia,maximum,Logistic,ascending,2050,Adavale,0.2004,1
Australia,maximum,Logistic,ascending,2050,Bowen-Surat,0.6204,1
Australia,maximum,Logistic,ascending,2050,Canning,80.974,64
Australia,maximum,Logistic,ascending,2050,Gippsland,88.082,196
Australia,maximum,Logistic,ascending,2100,Adavale,0.2004,1
Australia,maximum,Logistic,ascending,2100,Bass,308.6529,306
Australia,maximum,Logistic,ascending,2100,Bonaparte,262.299,650
Australia,maximum,Logistic,ascending,2100,Bowen-Surat,0.6204,1
Australia,maximum,Logistic,ascending,2100,Canning,80.974,64
Australia,maximum,Logistic,ascending,2100,Gippsland,222.1122,196
Australia,maximum,Logistic,ascending,2100,Perth,365.5448,324
Australia,maximum,Logistic,ascending,2179,Adavale,0.0128,1
Australia,policy,Logistic,ascending,2050,Adavale,0.2002,1
Australia,policy,Logistic,ascending,2050,Bowen-Surat,0.6197,1
Australia,policy,Logistic,ascending,2050,Canning,65.4729,64
Australia,policy,Logistic,ascending,2050,Gippsland,102.28,196
Australia,policy,Logistic,ascending,2100,Adavale,0.2002,1
Australia,policy,Logistic,ascending,2100,Bass,257.7343,240
Australia,policy,Logistic,ascending,2100,Bonaparte,871.3316,650
Australia,policy,Logistic,ascending,2100,Bowen-Surat,0.6197,1
Australia,policy,Logistic,ascending,2100,Browse,2067.6169,441
Australia,policy,Logistic,ascending,2100,Canning,65.4729,64
Australia,policy,Logistic,ascending,2100,Gippsland,196.9265,196
Australia,policy,Logistic,ascending,2100,North Carnarvon,1971.8163,1722
Australia,policy,Logistic,ascending,2100,Perth,301.7551,256
Australia,policy,Logistic,ascending,2179,Adavale,0.0746,1
Australia,reference,Logistic,ascending,2050,Adavale,0.2002,1
Australia,reference,Logistic,ascending,2050,Bowen-Surat,0.6197,1
Australia,reference,Logistic,ascending,2050,Canning,65.4729,64
Australia,reference,Logistic,ascending,2050,Gippsland,97.9179,196
Australia,reference,Logistic,ascending,2100,Adavale,0.2002,1
Australia,reference,Logistic,ascending,2100,Bass,257.7343,240
Australia,reference,Logistic,ascending,2100,Bonaparte,871.3316,650
Australia,reference,Logistic,ascending,2100,Bowen-Surat,0.6197,1
Australia,reference,Logistic,ascending,2100,Browse,2375.5093,441
Australia,reference,Logistic,ascending,2100,Canning,65.4729,64
Australia,reference,Logistic,ascending,2100,Gippsland,196.9265,196
Australia,reference,Logistic,ascending,2100,North Carnarvon,1971.8163,1722
Australia,reference,Logistic,ascending,2100,Perth,301.7551,256
Australia,reference,Logistic,ascending,2179,Adavale,0.0869,1
Australia,us1gt,Logistic,ascending,2050,Adavale,0.2002,1
Australia,us1gt,Logistic,ascending,2050,Bowen-Surat,0.6197,1
Australia,us1gt,Logistic,ascending,2050,Canning,72.1087,72
Australia,us1gt,Logistic,ascending,2050,Gippsland,102.2543,196
Australia,us1gt,Logistic,ascending,2100,Adavale,0.2002,1
Australia,us1gt,Logistic,ascending,2100,Bass,257.7343,240
Australia,us1gt,Logistic,ascending,2100,Bonaparte,871.3316,650
Australia,us1gt,Logistic,ascending,2100,Bowen-Surat,0.6197,1
Australia,us1gt,Logistic,ascending,2100,Browse,1622.9517,441
Australia,us1gt,Logistic,ascending,2100,Canning,72.1087,72
Australia,us1gt,Logistic,ascending,2100,Gippsland,196.9265,196
Australia,us1gt,Logistic,ascending,2100,North Carnarvon,1971.8163,1722
Australia,us1gt,Logistic,ascending,2100,Perth,301.7551,256
Australia,us1gt,Logistic,ascending,2179,Adavale,0.0595,1
Brazil,maximum,Gompertz,ascending,2050,Campos,546.8933,576
Brazil,maximum,Gompertz,ascending,2050,Espirito Santo,71.5205,49
Brazil,maximum,Gompertz,ascending,2050,Potiguar,80.6804,49
Brazil,maximum,Gompertz,ascending,2050,Reconcavo,9.9168,9
Brazil,maximum,Gompertz,ascending,2050,Sergipe-Alagoas,20.3301,20
Brazil,maximum,Gompertz,ascending,2050,Solimoes,183.2199,182
Brazil,maximum,Gompertz,ascending,2050,Tucano,0.477,1
Brazil,maximum,Gompertz,ascending,2100,Barreirinhas-Para-Maranhao,1327.8531,930
Brazil,maximum,Gompertz,ascending,2100,Campos,635.8064,576
Brazil,maximum,Gompertz,ascending,2100,Espirito Santo,71.5205,49
Brazil,maximum,Gompertz,ascending,2100,Foz do Amazonas,8379.5662,3540
Brazil,maximum,Gompertz,ascending,2100,Potiguar,80.6804,49
Brazil,maximum,Gompertz,ascending,2100,Reconcavo,9.9168,9
Brazil,maximum,Gompertz,ascending,2100,Santos,1989.4525,1640
Brazil,maximum,Gompertz,ascending,2100,Sergipe-Alagoas,20.3301,20
Brazil,maximum,Gompertz,ascending,2100,Solimoes,183.2199,182
Brazil,maximum,Gompertz,ascending,2100,Tucano,0.477,1
Brazil,maximum,Gompertz,ascending,2179,Barreirinhas-Para-Maranhao,1327.8531,930
Brazil,maximum,Gompertz,ascending,2179,Campos,635.8064,576
Brazil,maximum,Gompertz,ascending,2179,Espirito Santo,71.5205,49
Brazil,maximum,Gompertz,ascending,2179,Foz do Amazonas,5777.2181,3540
Brazil,maximum,Gompertz,ascending,2179,Potiguar,80.6804,49
Brazil,maximum,Gompertz,ascending,2179,Reconcavo,9.9168,9
Brazil,maximum,Gompertz,ascending,2179,Santos,1989.4525,1640
Brazil,maximum,Gompertz,ascending,2179,Sergipe-Alagoas,20.3301,20
Brazil,maximum,Gompertz,ascending,2179,Solimoes,183.2199,182
Brazil,maximum,Gompertz,ascending,2179,Tucano,0.477,1
Brazil,maximum,Logistic,ascending,2050,Campos,342.838,841
Brazil,maximum,Logistic,ascending,2050,Espirito Santo,101.1945,100
Brazil,maximum,Logistic,ascending,2050,Potiguar,132.669,132
Brazil,maximum,Logistic,ascending,2050,Reconcavo,12.2352,12
Brazil,maximum,Logistic,ascending,2050,Sergipe-Alagoas,25.6938,25
Brazil,maximum,Logistic,ascending,2050,Solimoes,297.9305,272
Brazil,maximum,Logistic,ascending,2050,Tucano,0.477,1
Brazil,maximum,Logistic,ascending,2100,Barreirinhas-Para-Maranhao,2870.5574,1521
Brazil,maximum,Logistic,ascending,2100,Campos,1273.3176,841
Brazil,maximum,Logistic,ascending,2100,Espirito Santo,101.1945,100
Brazil,maximum,Logistic,ascending,2100,Foz do Amazonas,1684.5767,1722
Brazil,maximum,Logistic,ascending,2100,Potiguar,132.669,132
Brazil,maximum,Logistic,ascending,2100,Reconcavo,12.2352,12
Brazil,maximum,Logistic,ascending,2100,Santos,5924.8897,3249
Brazil,maximum,Logistic,ascending,2100,Sergipe-Alagoas,25.6938,25
Brazil,maximum,Logistic,ascending,2100,Solimoes,297.9305,272
Brazil,maximum,Logistic,ascending,2100,Tucano,0.477,1
Brazil,maximum,Logistic,ascending,2179,Tucano,0.1282,1
Canada,growth10,Logistic,ascending,2050,Beaufort-Mackenzie,0.3771,1
Canada,growth10,Logistic,ascending,2050,Scotian,32.8401,462
Canada,growth10,Logistic,ascending,2100,Beaufort-Mackenzie,0.3771,1
Canada,growth10,Logistic,ascending,2100,Grand Banks,204.2077,56
Canada,growth10,Logistic,ascending,2100,Scotian,510.6088,462
Canada,growth10,Logistic,ascending,2179,Beaufort-Mackenzie,0.3771,1
Canada,growth10,Logistic,ascending,2179,Scotian,36.1996,462
Canada,ipcc_high,Gompertz,ascending,2050,Beaufort-Mackenzie,0.3771,1
Canada,ipcc_high,Gompertz,ascending,2050,Scotian,443.5353,650
Canada,ipcc_high,Gompertz,ascending,2100,Beaufort-Mackenzie,0.3771,1
Canada,ipcc_high,Gompertz,ascending,2100,Scotian,327.6293,650
Canada,ipcc_high,Gompertz,ascending,2179,Beaufort-Mackenzie,0.3771,1
Canada,ipcc_high,Gompertz,ascending,2179,Scotian,9.0886,650
Canada,ipcc_high,Logistic,ascending,2050,Beaufort-Mackenzie,0.3797,1
Canada,ipcc_high,Logistic,ascending,2050,Scotian,443.5327,1369
Canada,ipcc_high,Logistic,ascending,2100,Beaufort-Mackenzie,0.3797,1
Canada,ipcc_high,Logistic,ascending,2100,Scotian,12.0929,1369
Canada,ipcc_high,Logistic,ascending,2179,Beaufort-Mackenzie,0.0,1
Canada,maximum,Gompertz,ascending,2050,Beaufort-Mackenzie,0.3771,1
Canada,maximum,Gompertz,ascending,2050,Scotian,306.6551,462
Canada,maximum,Gompertz,ascending,2100,Beaufort-Mackenzie,0.3771,1
Canada,maximum,Gompertz,ascending,2100,Grand Banks,65.9768,30
Canada,maximum,Gompertz,ascending,2100,Scotian,473.3372,462
Canada,maximum,Gompertz,ascending,2179,Beaufort-Mackenzie,0.3771,1
Canada,maximum,Gompertz,ascending,2179,Scotian,41.1945,462
Canada,maximum,Logistic,ascending,2050,Beaufort-Mackenzie,0.3797,1
Canada,maximum,Logistic,ascending,2050,Scotian,306.6525,812
Canada,maximum,Logistic,ascending,2100,Beaufort-Mackenzie,0.3797,1
Canada,maximum,Logistic,ascending,2100,Scotian,13.8054,812
Canada,maximum,Logistic,ascending,2179,Beaufort-Mackenzie,0.0001,1
Canada,policy,Gompertz,ascending,2050,Beaufort-Mackenzie,0.3771,1
Canada,policy,Gompertz,ascending,2050,Scotian,59.6229,342
Canada,policy,Gompertz,ascending,2100,Beaufort-Mackenzie,0.3771,1
Canada,policy,Gompertz,ascending,2100,Grand Banks,165.8917,484
Canada,policy,Gompertz,ascending,2100,Scotian,348.7283,342
Canada,policy,Gompertz,ascending,2179,Beaufort-Mackenzie,0.3771,1
Canada,policy,Gompertz,ascending,2179,Grand Banks,633.5693,484
Canada,policy,Gompertz,ascending,2179,Scotian,348.7283,342
Canada,policy,Logistic,ascending,2050,Beaufort-Mackenzie,0.3771,1
Canada,policy,Logistic,ascending,2050,Scotian,59.6229,930
Canada,policy,Logistic,ascending,2100,Beaufort-Mackenzie,0.3771,1
Canada,policy,Logistic,ascending,2100,Scotian,882.4515,930
Canada,policy,Logistic,ascending,2179,Beaufort-Mackenzie,0.3771,1
Canada,policy,Logistic,ascending,2179,Scotian,1.3401,930
Canada,reference,Gompertz,ascending,2050,Beaufort-Mackenzie,0.3771,1
Canada,reference,Gompertz,ascending,2050,Scotian,295.6854,342
Canada,reference,Gompertz,ascending,2100,Beaufort-Mackenzie,0.3771,1
Canada,reference,Gompertz,ascending,2100,Grand Banks,169.4286,42
Canada,reference,Gompertz,ascending,2100,Scotian,387.3385,342
Canada,reference,Gompertz,ascending,2179,Beaufort-Mackenzie,0.3771,1
Canada,reference,Gompertz,ascending,2179,Scotian,46.3431,342
Canada,reference,Logistic,ascending,2050,Beaufort-Mackenzie,0.3791,1
Canada,reference,Logistic,ascending,2050,Scotian,295.6834,1521
Canada,reference,Logistic,ascending,2100,Beaufort-Mackenzie,0.3791,1
Canada,reference,Logistic,ascending,2100,Scotian,48.1412,1521
Canada,reference,Logistic,ascending,2179,Beaufort-Mackenzie,0.0003,1
Canada,us1gt,Gompertz,ascending,2050,Beaufort-Mackenzie,0.3771,1
Canada,us1gt,Gompertz,ascending,2050,Scotian,296.0286,342
Canada,us1gt,Gompertz,ascending,2100,Beaufort-Mackenzie,0.3771,1
Canada,us1gt,Gompertz,ascending,2100,Grand Banks,168.8856,42
Canada,us1gt,Gompertz,ascending,2100,Scotian,387.3385,342
Canada,us1gt,Gompertz,ascending,2179,Beaufort-Mackenzie,0.3771,1
Canada,us1gt,Gompertz,ascending,2179,Scotian,46.1726,342
Canada,us1gt,Logistic,ascending,2050,Beaufort-Mackenzie,0.3791,1
Canada,us1gt,Logistic,ascending,2050,Scotian,296.0266,1521
Canada,us1gt,Logistic,ascending,2100,Beaufort-Mackenzie,0.3791,1
Canada,us1gt,Logistic,ascending,2100,Scotian,47.9623,1521
Canada,us1gt,Logistic,ascending,2179,Beaufort-Mackenzie,0.0003,1
China,growth10,Logistic,ascending,2050,Bose,0.6099,1
China,growth10,Logistic,ascending,2050,Hailar-Temtsag,0.0402,1
China,growth10,Logistic,ascending,2050,Jianghan,0.6968,1
China,growth10,Logistic,ascending,2050,Jiuquan,0.4616,1
China,growth10,Logistic,ascending,2050,Junggar,0.3654,1
China,growth10,Logistic,ascending,2050,Qaidam,0.6127,1
China,growth10,Logistic,ascending,2050,Sanshui,0.5507,1
China,growth10,Logistic,ascending,2050,Santanghu,0.1058,1
China,growth10,Logistic,ascending,2050,Sichuan,0.1036,1
China,growth10,Logistic,ascending,2050,Yilan-Yitong,17.8901,20
China,growth10,Logistic,ascending,2100,Beibuwan,75.9292,196
China,growth10,Logistic,ascending,2100,Bose,0.6099,1
China,growth10,Logistic,ascending,2100,Erlian,98.0035,90
China,growth10,Logistic,ascending,2100,Hailar-Temtsag,0.0402,1
China,growth10,Logistic,ascending,2100,Jianghan,0.6968,1
China,growth10,Logistic,ascending,2100,Jiuquan,0.4616,1
China,growth10,Logistic,ascending,2100,Junggar,0.3654,1
China,growth10,Logistic,ascending,2100,Nanxiang,82.2214,81
China,growth10,Logistic,ascending,2100,Ordos,163.3672,156
China,growth10,Logistic,ascending,2100,Qaidam,0.6127,1
China,growth10,Logistic,ascending,2100,Sanshui,0.5507,1
China,growth10,Logistic,ascending,2100,Santanghu,0.1058,1
China,growth10,Logistic,ascending,2100,Sichuan,0.1036,1
China,growth10,Logistic,ascending,2100,Songliao,64.276,64
China,growth10,Logistic,ascending,2100,Subei,137.1023,110
China,growth10,Logistic,ascending,2100,Turpan,31.3394,30
China,growth10,Logistic,ascending,2100,Yilan-Yitong,22.0747,20
China,growth10,Logistic,ascending,2179,Bose,0.6099,1
China,growth10,Logistic,ascending,2179,Erlian,98.0035,90
China,growth10,Logistic,ascending,2179,Hailar-Temtsag,0.0402,1
China,growth10,Logistic,ascending,2179,Jianghan,0.6968,1
China,growth10,Logistic,ascending,2179,Jiuquan,0.4616,1
China,growth10,Logistic,ascending,2179,Junggar,0.3654,1
China,growth10,Logistic,ascending,2179,Nanxiang,82.2214,81
China,growth10,Logistic,ascending,2179,Qaidam,0.6127,1
China,growth10,Logistic,ascending,2179,Sanshui,0.5507,1
China,growth10,Logistic,ascending,2179,Santanghu,0.1058,1
China,growth10,Logistic,ascending,2179,Sichuan,0.1036,1
China,growth10,Logistic,ascending,2179,Songliao,64.276,64
China,growth10,Logistic,ascending,2179,Subei,5.4944,110
China,growth10,Logistic,ascending,2179,Turpan,31.3394,30
China,growth10,Logistic,ascending,2179,Yilan-Yitong,22.0747,20
China,ipcc_low,Gompertz,ascending,2050,Bose,0.6099,1
China,ipcc_low,Gompertz,ascending,2050,Hailar-Temtsag,0.0402,1
China,ipcc_low,Gompertz,ascending,2050,Jianghan,0.6968,1
China,ipcc_low,Gompertz,ascending,2050,Jiuquan,0.4616,1
China,ipcc_low,Gompertz,ascending,2050,Junggar,0.3654,1
China,ipcc_low,Gompertz,ascending,2050,Qaidam,0.6127,1
China,ipcc_low,Gompertz,ascending,2050,Sanshui,0.5507,1
China,ipcc_low,Gompertz,ascending,2050,Santanghu,0.1058,1
China,ipcc_low,Gompertz,ascending,2050,Sichuan,0.1036,1
China,ipcc_low,Gompertz,ascending,2050,Songliao,36.0756,42
China,ipcc_low,Gompertz,ascending,2050,Turpan,27.2544,25
China,ipcc_low,Gompertz,ascending,2050,Yilan-Yitong,21.066,20
China,ipcc_low,Gompertz,ascending,2100,Beibuwan,134.2248,100
China,ipcc_low,Gompertz,ascending,2100,Bohai Bay,197.8325,169
China,ipcc_low,Gompertz,ascending,2100,Bose,0.6099,1
China,ipcc_low,Gompertz,ascending,2100,Erlian,73.2147,72
China,ipcc_low,Gompertz,ascending,2100,Hailar-Temtsag,0.0402,1
China,ipcc_low,Gompertz,ascending,2100,Huabei,30.6682,324
China,ipcc_low,Gompertz,ascending,2100,Jianghan,0.6968,1
China,ipcc_low,Gompertz,ascending,2100,Jiuquan,0.4616,1
China,ipcc_low,Gompertz,ascending,2100,Junggar,0.3654,1
China,ipcc_low,Gompertz,ascending,2100,Nanxiang,75.7352,42
China,ipcc_low,Gompertz,ascending,2100,Ordos,120.0345,100
China,ipcc_low,Gompertz,ascending,2100,Pearl River Mouth,312.7903,272
China,ipcc_low,Gompertz,ascending,2100,Qaidam,0.6127,1
China,ipcc_low,Gompertz,ascending,2100,Sanshui,0.5507,1
China,ipcc_low,Gompertz,ascending,2100,Santanghu,0.1058,1
China,ipcc_low,Gompertz,ascending,2100,Sichuan,0.1036,1
China,ipcc_low,Gompertz,ascending,2100,Songliao,47.3479,42
China,ipcc_low,Gompertz,ascending,2100,Subei,100.8902,25
China,ipcc_low,Gompertz,ascending,2100,Turpan,27.2544,25
China,ipcc_low,Gompertz,ascending,2100,Yilan-Yitong,21.066,20
China,ipcc_low,Gompertz,ascending,2179,Beibuwan,134.2248,100
China,ipcc_low,Gompertz,ascending,2179,Bohai Bay,197.8325,169
China,ipcc_low,Gompertz,ascending,2179,Bose,0.6099,1
China,ipcc_low,Gompertz,ascending,2179,Erlian,73.2147,72
China,ipcc_low,Gompertz,ascending,2179,Hailar-Temtsag,0.0402,1
China,ipcc_low,Gompertz,ascending,2179,Huabei,359.3937,324
China,ipcc_low,Gompertz,ascending,2179,Jianghan,0.6968,1
China,ipcc_low,Gompertz,ascending,2179,Jiuquan,0.4616,1
China,ipcc_low,Gompertz,ascending,2179,Junggar,0.3654,1
China,ipcc_low,Gompertz,ascending,2179,Nanxiang,75.7352,42
China,ipcc_low,Gompertz,ascending,2179,Ordos,120.0345,100
China,ipcc_low,Gompertz,ascending,2179,Pearl River Mouth,312.7903,272
China,ipcc_low,Gompertz,ascending,2179,Qaidam,0.6127,1
China,ipcc_low,Gompertz,ascending,2179,Sanshui,0.5507,1
China,ipcc_low,Gompertz,ascending,2179,Santanghu,0.1058,1
China,ipcc_low,Gompertz,ascending,2179,Sichuan,0.1036,1
China,ipcc_low,Gompertz,ascending,2179,Songliao,47.3479,42
China,ipcc_low,Gompertz,ascending,2179,Subei,100.8902,25
China,ipcc_low,Gompertz,ascending,2179,Tarim,287.6209,420
China,ipcc_low,Gompertz,ascending,2179,Turpan,27.2544,25
China,ipcc_low,Gompertz,ascending,2179,Yilan-Yitong,21.066,20
China,ipcc_low,Logistic,ascending,2050,Bose,0.6104,1
China,ipcc_low,Logistic,ascending,2050,Hailar-Temtsag,0.0402,1
China,ipcc_low,Logistic,ascending,2050,Jianghan,0.6983,1
China,ipcc_low,Logistic,ascending,2050,Jiuquan,0.4616,1
China,ipcc_low,Logistic,ascending,2050,Junggar,0.3654,1
China,ipcc_low,Logistic,ascending,2050,Qaidam,0.6135,1
China,ipcc_low,Logistic,ascending,2050,Sanshui,0.5514,1
China,ipcc_low,Logistic,ascending,2050,Santanghu,0.1058,1
China,ipcc_low,Logistic,ascending,2050,Sichuan,0.1036,1
China,ipcc_low,Logistic,ascending,2050,Songliao,8.4063,81
China,ipcc_low,Logistic,ascending,2050,Turpan,49.2309,49
China,ipcc_low,Logistic,ascending,2050,Yilan-Yitong,26.7553,25
China,ipcc_low,Logistic,ascending,2100,Beibuwan,369.7329,306
China,ipcc_low,Logistic,ascending,2100,Bohai Bay,685.532,625
China,ipcc_low,Logistic,ascending,2100,Bose,0.6104,1
China,ipcc_low,Logistic,ascending,2100,Erlian,159.253,144
China,ipcc_low,Logistic,ascending,2100,Hailar-Temtsag,0.0402,1
China,ipcc_low,Logistic,ascending,2100,Jianghan,0.6983,1
China,ipcc_low,Logistic,ascending,2100,Jiuquan,0.4616,1
China,ipcc_low,Logistic,ascending,2100,Junggar,0.3654,1
China,ipcc_low,Logistic,ascending,2100,Nanxiang,105.3935,81
China,ipcc_low,Logistic,ascending,2100,Ordos,268.5672,240
China,ipcc_low,Logistic,ascending,2100,Pearl River Mouth,35.7566,272
China,ipcc_low,Logistic,ascending,2100,Qaidam,0.6135,1
China,ipcc_low,Logistic,ascending,2100,Sanshui,0.5514,1
China,ipcc_low,Logistic,ascending,2100,Santanghu,0.1058,1
China,ipcc_low,Logistic,ascending,2100,Sichuan,0.1036,1
China,ipcc_low,Logistic,ascending,2100,Songliao,85.3944,81
China,ipcc_low,Logistic,ascending,2100,Subei,250.6566,225
China,ipcc_low,Logistic,ascending,2100,Turpan,49.2309,49
China,ipcc_low,Logistic,ascending,2100,Yilan-Yitong,26.7553,25
China,ipcc_low,Logistic,ascending,2179,Hailar-Temtsag,0.0402,1
China,ipcc_low,Logistic,ascending,2179,Junggar,0.0511,1
China,ipcc_low,Logistic,ascending,2179,Santanghu,0.1058,1
China,ipcc_low,Logistic,ascending,2179,Sichuan,0.1036,1
China,maximum,Gompertz,ascending,2050,Bose,0.6099,1
China,maximum,Gompertz,ascending,2050,Erlian,78.9482,72
China,maximum,Gompertz,ascending,2050,Hailar-Temtsag,0.0402,1
China,maximum,Gompertz,ascending,2050,Jianghan,0.6968,1
China,maximum,Gompertz,ascending,2050,Jiuquan,0.4616,1
China,maximum,Gompertz,ascending,2050,Junggar,0.3654,1
China,maximum,Gompertz,ascending,2050,Nanxiang,78.5317,42
China,maximum,Gompertz,ascending,2050,Ordos,119.971,156
China,maximum,Gompertz,ascending,2050,Qaidam,0.6127,1
China,maximum,Gompertz,ascending,2050,Sanshui,0.5507,1
China,maximum,Gompertz,ascending,2050,Santanghu,0.1058,1
China,maximum,Gompertz,ascending,2050,Sichuan,0.1036,1
China,maximum,Gompertz,ascending,2050,Songliao,47.3479,42
China,maximum,Gompertz,ascending,2050,Subei,137.1023,110
China,maximum,Gompertz,ascending,2050,Turpan,27.2121,25
China,maximum,Gompertz,ascending,2050,Yilan-Yitong,21.066,20
China,maximum,Gompertz,ascending,2100,Beibuwan,211.5205,196
China,maximum,Gompertz,ascending,2100,Bohai Bay,239.9774,441
China,maximum,Gompertz,ascending,2100,Bose,0.6099,1
China,maximum,Gompertz,ascending,2100,Erlian,78.9482,72
China,maximum,Gompertz,ascending,2100,Hailar-Temtsag,0.0402,1
China,maximum,Gompertz,ascending,2100,Jianghan,0.6968,1
China,maximum,Gompertz,ascending,2100,Jiuquan,0.4616,1
China,maximum,Gompertz,ascending,2100,Junggar,0.3654,1
China,maximum,Gompertz,ascending,2100,Nanxiang,78.5317,42
China,maximum,Gompertz,ascending,2100,Ordos,163.3672,156
China,maximum,Gompertz,ascending,2100,Qaidam,0.6127,1
China,maximum,Gompertz,ascending,2100,Sanshui,0.5507,1
China,maximum,Gompertz,ascending,2100,Santanghu,0.1058,1
China,maximum,Gompertz,ascending,2100,Sichuan,0.1036,1
China,maximum,Gompertz,ascending,2100,Songliao,47.3479,42
China,maximum,Gompertz,ascending,2100,Subei,137.1023,110
China,maximum,Gompertz,ascending,2100,Turpan,27.2121,25
China,maximum,Gompertz,ascending,2100,Yilan-Yitong,21.066,20
China,maximum,Gompertz,ascending,2179,Bose,0.6099,1
China,maximum,Gompertz,ascending,2179,Hailar-Temtsag,0.0402,1
China,maximum,Gompertz,ascending,2179,Jianghan,0.6968,1
China,maximum,Gompertz,ascending,2179,Jiuquan,0.4616,1
China,maximum,Gompertz,ascending,2179,Junggar,0.3654,1
China,maximum,Gompertz,ascending,2179,Qaidam,0.6127,1
China,maximum,Gompertz,ascending,2179,Sanshui,0.5507,1
China,maximum,Gompertz,ascending,2179,Santanghu,0.1058,1
China,maximum,Gompertz,ascending,2179,Sichuan,0.1036,1
China,maximum,Gompertz,ascending,2179,Songliao,4.5714,42
China,maximum,Gompertz,ascending,2179,Turpan,27.2121,25
China,maximum,Gompertz,ascending,2179,Yilan-Yitong,21.066,20
China,maximum,Logistic,ascending,2050,Bose,0.6145,1
China,maximum,Logistic,ascending,2050,Erlian,45.2007,256
China,maximum,Logistic,ascending,2050,Hailar-Temtsag,0.0404,1
China,maximum,Logistic,ascending,2050,Jianghan,0.7032,1
China,maximum,Logistic,ascending,2050,Jiuquan,0.4664,1
China,maximum,Logistic,ascending,2050,Junggar,0.3694,1
China,maximum,Logistic,ascending,2050,Nanxiang,162.5972,144
China,maximum,Logistic,ascending,2050,Qaidam,0.6201,1
China,maximum,Logistic,ascending,2050,Sanshui,0.5558,1
China,maximum,Logistic,ascending,2050,Santanghu,0.1067,1
